lemat;nachechowanie
karmiæ;+ s
karnoœæ;+ s
karnoœæ;+ m
karnoœæ;amb
karny;+ s
kasowaæ;- s
kasowaæ;amb
katastrofa;- m
kategoryczny;- s
kawa³;amb
kibel;- s
kiæ;- s
kiepski;- s
klarowny;+ m
klarowny;+ s
kl¹twa;- m
klêska;- m
klika;- s
klimat;amb
klop;- s
kluczowy;+ s
kmieæ;- m
kmiot;- m
kmiotek;- s
kmiotek;- m
kochany;+ m
kolega;+ s
kolektyw;+ s
kole¿eñstwo;+ s
kolosalny;amb
kombinator;- s
komfort;+ m
kompan;+ s
kompetentny;+ m
kompleks;- s
komuch;- m
komunista;- s
konanie;- s
koneser;+ m
konflikt;- s
konfliktowy;- m
koniec;amb
koniec;- m
konkretny;+ s
konkurencja;- s
konsekwencja;amb
konsekwentnoœæ;amb
konsekwentny;+ s
konserwatywny;amb
konstruktywny;+ m
kontaktowaæ siê;+ s
kontrastowy;amb
kontrowersyjny;- s
koronny;+ s
korzyœæ;+ m
korzyœæ;+ s
korzystaæ;amb
korzystaæ;+ s
korzystny;+ s
kosmiczny;amb
koszmar;- m
koteria;- s
koza;- s
kraksa;- s
kres;amb
króciutki;amb
krótkawy;- s
kruchy;- s
kruszyna;+ s
krymina³;- s
krymina³;- m
krytyk;- s
kryzys;- m
kryzys;- s
krzepa;+ m
krzepki;+ m
krzepki;+ s
krzyczeæ;amb
krzywda;- m
kszta³tny;+ s
kulminacyjny;+ m
kumpel;+ s
kurtuazyjny;amb
kusy;- m
kusy;amb
ku³ak;- m
kwalifikowany;+ s
k³amliwy;- m
k³opot;- s
k³opotaæ siê;- s
k³opotliwy;- s
k³ótliwy;- m
k³ótnia;- s
laga;- s
laga;- m
laik;- s
lakoniczny;amb
latoroœl;+ s
laureat;+ s
lawinowy;amb
leczniczy;+ m
leczniczy;+ s
legalny;+ m
legalny;+ s
lêk;- m
lekki;amb
lekkoduszny;- m
lekkomyœlny;- m
leniwy;- s
lichwa;- m
lichy;- s
lider;+ s
likwidowaæ;amb
litoœæ;+ m
litoœciwy;+ m
litoœciwy;+ s
lizus;- m
logicznoœæ;+ s
lojalny;+ m
lojalny;+ s
los;amb
lubiæ;+ s
lufa;- s
luka;- s
lulaæ;+ s
luzacki;amb
m¹dry;+ s
m¹dry;+ m
mafia;- m
magnetyzowaæ;amb
maj¹tek;+ s
maj¹tek;+ m
majestatycznoœæ;+ s
majestatyczny;+ s
majêtnoœæ;amb
majêtny;+ s
maleñki;amb
maleñstwo;+ s
maligna;- m
malkontent;- m
malowniczy;+ m
maluch;amb
malutki;amb
mamer;- s
mamer;- m
mamona;- s
mandat;- s
mania;amb
maniactwo;amb
margines;- m
margines;- s
marny;- s
martwy;- m
marzenie;+ m
marzyæ;amb
masowy;amb
masy;- s
masywny;amb
mato³;- m
ma³olat;- s
md³awy;- s
mêczarnia;- m
mêczennik;amb
mêczyæ;- m
mêczyæ siê;- s
mêczyæ siê;- m
mêka;- m
melancholia;- m
melancholijny;amb
melancholijny;- m
mêtny;- s
metodycznoœæ;+ s
metodyczny;+ s
metropolia;+ s
mê¿ny;+ m
miara;+ s
mieœcina;- s
mieszaæ;- s
mieszaæ siê;- s
mikrus;+ s
min¹æ;amb
miniaturowy;amb
minus;- s
mistrz;+ m
mizeria;- m
mizeria;- s
mi³oœæ;+ m
mi³oœciwy;+ m
mi³oœciwy;+ s
mi³osierdzie;+ m
mi³oœnictwo;+ m
mi³oœnictwo;+ s
mi³y;+ m
mnóstwo;amb
moc;amb
mocarz;+ m
mocny;+ m
modny;+ m
modny;+ s
mogi³a;- s
mól ksi¹¿kowy;amb
moment zwrotny;amb
monotonny;- s
moralny;+ m
mordowaæ;- m
mo¿ny;+ s
mozolny;- m
mozolny;- s
mrzonka;- s
m³okos;- s
nabawiæ siê;- s
nabieraæ;- s
nabo¿ny;amb
nabo¿ny;+ s
nabraæ;- s
nabytek;+ s
nadaremny;- m
nadaremny;- s
nadawaæ;+ s
nadawaæ siê;+ s
nadmiar;- s
nadmiarowy;- s
nadmierny;- s
nadzieja;amb
nagl¹cy;- s
nagrodzony;+ s
nag³y;- s
naiwny;- m
najkorzystniejszy;+ m
najmilszy;+ s
najwa¿niejszy;+ s
nak³oniæ;amb
nale¿eæ siê;amb
nale¿eæ siê;+ s
nale¿yty;+ s
namiêtnoœæ;amb
namiêtny;+ m
napaœæ;- m
napaœæ;- s
napastliwy;- m
napastnik;- m
nape³niaæ siê;amb
napieraæ;amb
napity;- s
napity;- m
naprê¿ony;- m
narastaæ;amb
narzekaæ;- s
nastrój;amb
nasyciæ;amb
naturalnoœæ;+ m
natychmiastowy;+ s
nat³ok;- m
nat³ok;- s
naukowiec;amb
nawa³;- m
nawa³;amb
nêdza;- m
nêdzny;- m
newralgiczny;amb
newralgiczny;- m
newralgiczny;- s
nic;amb
nicoœæ;- m
nieaktualny;- s
niebagatelny;+ m
niebagatelny;+ s
